"StartDevice","EndDevice"
"ibr01.rio02","ibr01.rio30"
"ier04.fra31","icr02.fra23"
"ibr01.cle02","ibr01.cle30"
"gva20-0100-0002-01sw","zrh21-0100-0001-02sw"
"ier02.phx32","rwa02.phx70"
"ibr02.fll30","ibr02.for01"
"icr01.sg3","ier01.sin31"
"icr01.sg3","ibr02.sg3"
"ibr02.phx70","rwa04.phx70"
"ier01.bl32","icr01.bl7"
"ibr02.maa01","icr01.maa01"
"ath01-96cbe-1a","ath01-96cbe-1b"
"ibr01.lon24","icr02.lon24"
"ibr02.mel01","ibr02.per01"
"icr03.by4","by4-0100-0002-01sw"
"ch4-0100-0002-01sw","icr02.ch4"
"lon24-0100-0001-01sw","par21-0100-0001-01sw"
"ibr01.phx70","ibr01.sn6"
"mwh01-0100-0001-01sw","icr01.mwh01"
"ibr01.got30","ibr02.got30"
"ibr03.bn6","icr04.bn6"
"amb-96cbe-1b","icr02.ams21"
"ibr04.fra30","ibr02.fra21"
"cys04-0100-0001-01sw","by4-0100-0001-01sw"
"ter03.mrs20","ter04.mrs20"
"ibr01.rio20","icr02.rio20"
"yto20-0100-0001-01sw","yqb20-0100-0001-01sw"
"ibr01.cle30","ibr01.yto30"
"cle30-0100-0002-01sw","ewr30-0100-0002-01sw"
"icr02.bl7","ibr04.bl7"
"str06-0100-0001-02sw","str05-0100-0001-01sw"
"ter01.hkg30","ter02.hkg30"
"ibr01.cpt20","ibr02.cpt20"
"ibr02.fll30","ibr02.mia"
"ibr01.dxb20","icr02.dxb20"
"ibr02.bn6","icr01.bn6"
"ibr01.dxb22","icr01.dxb22"
"vie-0100-0001-03sw","vie20-0100-0001-01sw"
"cys04-0100-0004-01sw","lax31-0100-0002-01sw"
"ier02.amb","icr04.ams21"
"ibr01.pdx30","ibr01.tyo79"
"atl30-0100-0001-01sw","sn1-0100-0003-01sw"
"ier04.phx32","rwa04.phx10"
"icr02.sg2","sg2-0100-0002-01sw"
"bl7-0100-0200-01sw","cle30-0100-0001-01sw"
"ch2-0100-0001-01sw","dsm05-0100-0001-01sw"
"icr04.ams30","ibr01.ams30"
"ibr01.cbr20","ibr01.cbr21"
"ibr01.cpq20","ibr01.sao30"
"phx10-0100-0001-01sw","sn1-0100-0003-01sw"
"lon24-0100-0002-01sw","par21-0100-0002-01sw"
"icr01.ams30","ams-96c-1a"
"cys04-0100-0002-01sw","mwh01-0100-0002-01sw"
"ibr04.bl7","ibr04.bn6"
"sel20-0100-0002-01sw","icr02.sel20"
"ibr02.phx70","rwa01.phx70"
"ibr05.ams06","icr03.ams06"
"icr07.cys04","cys04-0100-0004-01sw"
"ibr03.by21","ibr03.cys04"
"mwh01-0100-0001-01sw","pdx31-0100-0001-01sw"
"ibr02.pdx31","ibr04.by4"
"ibr02.cpq20","ibr02.gru30"
"cle30-0100-0001-01sw","yto30-0100-0001-01sw"
"bio70-0100-0001-01sw","par30-0100-0001-01sw"
"icr01.bl7","ier01.ash"
"phx70-0100-0001-01sw","sn6-0100-0001-01sw"
"icr02.lon24","ibr01.lon24"
"ibr02.lax30","ibr02.lax31"
"icr02.lon22","lon22-0100-0002-01sw"
"icr04.by21","ibr04.by21"
"cys04-0100-0002-01sw","mwh01-0100-0002-01sw"
"ier01.str01","rwa03.str01"
"ibr02.atl30","ibr02.bn6"
"ibr01.fra21","ibr01.ham31"
"icr04.par30","par30-0100-0001-01sw"
"ibr01.ams21","icr02.ams21"
"ibr01.phx10","rwa02.phx10"
"ibr01.phx10","ibr01.phx70"
"dsm05-0100-0002-01sw","icr01.dsm05"
"ibr04.bl20","ibr02.bn6"
"sg3-0100-0001-01sw","tyo31-0100-0001-01sw"
"mrs21-0100-0001-01sw","mrs21-0100-0002-01sw"
"ibr02.ber20","ibr02.fra21"
"ibr03.bn6","ibr03.orf70"
"ibr01.cpq02","ibr01.sao30"
"ibr01.lon24","ibr01.par21"
"icr04.bl7","ibr03.bl7"
"ibr04.cys04","ibr04.dsm05"
"icr03.by4","ibr04.by4"
"ibr01.sg2","icr02.sg2"
"icr06.mwh01","mwh01-0100-0002-01sw"
"cys04-0100-0004-01sw","mwh01-0100-0004-01sw"
"str04-0100-0001-01sw","str04-0100-0001-02sw"
"ibr01.sel21","ibr02.sel21"
"osa31-0100-0002-01sw","tyo30-0100-0002-01sw"
"cwl20-0100-0001-01sw","icr01.cwl20"
"bl20-0100-0100-02sw","bn6-0100-0002-01sw"
"icr02.ch4","ibr02.ch4"
"sel20-0100-0001-01sw","tyo79-0100-0001-01sw"
"ibr06.ams06","ibr02.ham30"
"dub08-0100-0001-01sw","sxl71-0100-0001-01sw"
"ibr02.lax30","ibr02.sn1"
"ibr01.sel20","ibr02.sel20"
"tpe30-96cbe-1b","tpe31-96cbe-1b"
"bl20-0100-0100-01sw","orf70-0100-0003-01sw"
"ibr05.ams06","ibr01.ams21"
"ier04.lon04","icr04.lon22"
"cle30-0100-0002-01sw","yto30-0100-0002-01sw"
"ibr01.mia","ibr01.scl21"
"icr02.mwh01","ier06.stb"
"icr05.mwh01","ibr02.mwh01"
"icr02.dub08","db3-96c-2b"
"cle30-0100-0002-01sw","ch4-0100-0002-01sw"
"mwh01-0100-0001-01sw","mwh01-0100-0004-01sw"
"lax30-0100-0002-01sw","syd23-0100-0002-01sw"
"osa31-0100-0002-01sw","tyo30-0100-0002-01sw"
"dub07-0100-0002-01sw","ork30-0100-0001-02sw"
"ibr03.bl7","ibr03.bn6"
"sn6-0100-0002-01sw","dsm05-0100-0004-01sw"
"ibr02.cpq02","ibr02.gru30"
"ibr02.maa20","icr02.maa20"
"ier02.tyo36","icr02.tyo31"
"ibr01.gru30","ibr01.cpq20"
"ter02.syd","syd03-0100-0001-01sw"
"ibr01.mwh01","icr02.mwh01"
"ibr02.jga20","rwa04.jga20"
"ibr04.ams06","ibr02.ams30"
"icr04.ams30","ams30-0100-0001-01sw"
"atl31-0100-0001-01sw","bn6-0100-0003-01sw"
"ibr01.cle30","ibr01.yto30"
"ibr01.mwh01","ibr01.pdx31"
"ibr02.cph31","ibr02.mma01"
"ibr01.mma01","rwa03.mma01"
"atl30-0100-0001-01sw","sn1-0100-0003-01sw"
"icr04.dub07","ibr02.dub07"
"ams06-0100-0004-01sw","ham30-0100-0002-01sw"
"tls30-0100-0001-01sw","tls30-0100-0001-02sw"
"ibr02.sao30","ibr02.cpq02"
"ibr06.ams06","icr03.ams06"
"icr03.ams21","ibr01.ams21"
"bl7-0100-0200-01sw","bl7-0100-0200-02sw"
"ibr01.dsm05","ibr01.ch2"
"mel20-0100-0001-01sw","icr01.mel20"
"ams06-0100-0003-01sw","ham30-0100-0001-01sw"
"ibr02.par30","ibr02.bio70"
"per30-0100-0002-01sw","syd23-0100-0002-01sw"
"ibr02.cpq02","ibr02.cpq20"
"ibr01.fra21","ibr01.ber20"
"icr02.par21","par21-0100-0002-01sw"
"ibr02.dub08","ibr02.lon24"
"cle30-0100-0002-01sw","ch4-0100-0002-01sw"
"dbb-0100-0001-01sw","dub08-0100-0001-01sw"
"ibr01.osa20","icr02.osa20"
"icr01.hkg31","hk2-96cbe-1a"
"icr02.by21","ibr04.by21"
"ter04.sel21","icr01.sel21"
"ibr03.bl20","ibr04.bl20"
"mwh01-0100-0004-01sw","pdx30-0100-0002-01sw"
"ier03.bl31","icr03.bl7"
"bl20-0100-0100-01sw","cle02-0100-0001-01sw"
"cle30-0100-0002-01sw","ch4-0100-0002-01sw"
"ibr01.hkg31","ibr02.hkg31"
"osa31-0100-0002-01sw","icr01.osa31"
"ams06-0100-0002-01sw","ams30-0100-0002-01sw"
"icr04.lon24","ibr02.lon24"
"ibr01.cle02","ibr01.cle30"
"ibr01.mwh01","ibr01.pdx31"
"icr04.bl20","ibr04.bl20"
"ter04.dba","dub07-0100-0001-01sw"
"sn6-0100-0002-01sw","icr02.sn6"
"by21-0100-0002-01sw","lax31-0100-0002-01sw"
"ibr01.lon24","ibr02.lon24"
"fra23-0100-0002-01sw","par21-0100-0002-01sw"
"icr01.dub07","dub07-0100-0002-01sw"
"ibr01.cpq02","ibr01.gru30"
"icr01.cys04","ier01.slc31"
"ibr01.dxb21","ibr01.dxb20"
"ibr02.mwh01","ibr03.mwh01"
"ibr01.jhb20","ibr01.sg3"
"ibr01.mel01","icr02.mel01"
"icr02.pus04","pus04-0100-0001-01sw"
"ibr01.lon22","ibr01.nyc30"
"gva20-0100-0002-01sw","zrh21-0100-0001-02sw"
"icr04.by4","ibr03.by4"
"lax31-0100-0001-01sw","phx70-0100-0001-01sw"
"pus03-96cbe-1b","icr02.pus20"
"cys04-0100-0002-01sw","dsm05-0100-0002-01sw"
"icr04.ch2","ch2-0100-0001-01sw"
"icr01.tyo30","tya-96cbe-1a"
"ibr02.cpq20","ibr02.gru30"
"icr03.mwh01","mwh01-0100-0004-01sw"
"ier04.lon04","icr04.lon22"
"mwh01-0100-0001-01sw","mwh01-0100-0004-01sw"
"ibr02.pdx31","ibr02.pdx30"
"ibr02.for01","ibr02.rio02"
"icr04.lon24","ibr02.lon24"
